West Humber-Clairville,1,95,370,420,320,675,70,450,415,35,120,55
Mount Olive-Silverstone-Jamestown,2,105,170,935,350,540,95,215,625,30,220,45
Thistletown-Beaumond Heights,3,50,75,105,275,375,50,90,175,10,70,15
Rexdale-Kipling,4,65,70,60,145,510,50,105,140,25,55,15
Elms-Old Rexdale,5,30,70,30,190,470,30,145,95,30,145,35
Kingsview Village-The Westway,6,195,195,105,480,625,175,145,680,80,255,140
Willowridge-Martingrove-Richview,7,175,245,105,545,480,225,180,295,65,50,240
Humber Heights-Westmount,8,20,20,5,375,275,215,40,25,180,25,60
Edenbridge-Humber Valley,9,100,145,0,195,475,210,65,15,220,25,140
Princess-Rosethorn,10,55,200,5,50,70,60,25,10,70,35,180
Eringate-Centennial-West Deane,11,80,380,30,155,260,230,100,90,250,25,265
Markland Wood,12,50,160,15,35,85,60,30,10,80,25,115
Etobicoke West Mall,13,40,165,80,50,255,75,190,115,170,95,155
Islington-City Centre West,14,295,785,140,315,770,465,455,190,660,195,1145
Kingsway South,15,70,40,0,25,25,30,15,0,20,10,30
Stonegate-Queensway,16,150,205,15,260,230,230,115,25,430,40,85
Mimico,17,245,610,30,190,550,325,230,35,520,185,215
New Toronto,18,70,120,10,20,150,80,150,5,80,10,60
Long Branch,19,40,80,0,10,125,55,130,10,90,30,15
Alderwood,20,25,115,20,210,75,170,105,5,110,5,25
Humber Summit,21,30,70,125,1145,425,75,90,830,5,65,15
Humbermede,22,45,190,210,615,1205,55,280,810,20,20,65
Pelmo Park-Humberlea,23,30,170,100,590,465,230,90,35,20,30,25
Black Creek,24,90,485,380,590,870,85,325,70,60,95,15
Glenfield-Jane Heights,25,95,955,245,1875,2075,190,405,45,80,130,10
Downsview-Roding-CFB,26,75,510,130,2295,2180,585,1485,60,135,105,65
York University Heights,27,110,1140,760,995,885,115,785,320,340,225,240
Rustic,28,20,80,90,670,440,285,90,15,5,20,0
Maple Leaf,29,15,80,75,995,380,340,435,30,15,10,10
Brookhaven-Amesbury,30,50,325,150,445,1080,820,375,85,35,50,30
Yorkdale-Glen Park,31,55,500,50,1165,395,510,360,30,60,25,45
Englemount-Lawrence,32,55,185,25,185,315,170,1275,10,380,115,70
Clanton Park,33,80,230,20,250,195,65,995,10,515,90,155
Bathurst Manor,34,60,285,25,315,330,105,625,10,1185,165,200
Westminster-Branson,35,120,430,35,35,375,35,2130,45,4615,545,630
Newtonbrook West,36,50,1630,35,235,230,55,1660,50,2030,1475,1600
Willowdale West,37,45,2225,5,90,135,50,60,25,600,1365,1295
Lansing-Westgate,38,60,840,20,10,215,80,350,15,505,685,570
Bedford Park-Nortown,39,135,330,5,85,165,30,465,5,140,225,80
St.Andrew-Windfields,40,105,2175,25,30,260,30,85,40,160,760,475
Bridle Path-Sunnybrook-York Mills,41,120,660,0,0,55,30,0,0,80,215,90
Banbury-Don Mills,42,200,2225,70,20,225,45,290,130,195,570,280
Victoria Village,43,195,420,220,70,235,15,375,250,70,345,65
Flemingdon Park,44,150,705,580,10,245,15,705,1015,185,1000,165
Parkwoods-Donalda,45,305,1460,195,60,665,60,600,375,235,830,330
Pleasant View,46,65,3940,105,335,95,70,160,80,105,270,135
Don Valley Village,47,145,4570,185,15,430,40,710,120,380,1615,580
Hillcrest Village,48,70,5690,70,5,125,25,70,65,115,445,370
Bayview Woods-Steeles,49,70,2805,35,50,65,15,30,35,155,730,470
Newtonbrook East,50,40,3020,25,125,105,40,205,35,220,1735,1290
